orden,Cuenta,ID_Video,frases,score,segundo,tipo-sexismo
66,@biologia_con_esqueleto,7625797489173482774,"Mamá, te quiero presentar a mi novio, lo amo mucho.
Uy, se ve que si sabes elegir bien, hija. Qué guapo es tu novio.",0.3369640707969665,5,
67,@biologia_con_esqueleto,7625797489173482774,"Mamá, te quiero presentar a mi novio, lo amo mucho.
Uy, se ve que si sabes elegir bien, hija. Qué guapo es tu novio.",0.3369640707969665,6,
68,@biologia_con_esqueleto,7625797489173482774,"Mucho gusto, señora.",0.3110239505767822,7,
69,@biologia_con_esqueleto,7625797489173482774,Es un placer conocerla.,0.0918811187148094,8,
70,@biologia_con_esqueleto,7625797489173482774,"El placer es mío, cariño.",0.0994360223412513,9,
71,@biologia_con_esqueleto,7625797489173482774,"El placer es mío, cariño.",0.0994360223412513,10,
72,@biologia_con_esqueleto,7625797489173482774,"Oye, mi amor, ¿dónde está el baño?",0.2365941405296325,11,
73,@biologia_con_esqueleto,7625797489173482774,"Oye, mi amor, ¿dónde está el baño?",0.2365941405296325,12,
74,@biologia_con_esqueleto,7625797489173482774,"Oye, mi amor, ¿dónde está el baño?",0.2365941405296325,13,
75,@biologia_con_esqueleto,7625797489173482774,Necesito ir,0.0821717157959938,14,
76,@biologia_con_esqueleto,7625797489173482774,"Claro que sí, amor.",0.0944535583257675,15,
77,@biologia_con_esqueleto,7625797489173482774,Yo te llevo.,0.0698399394750595,16,
78,@biologia_con_esqueleto,7625797489173482774,"No te apures, hija.",0.7135096788406372,17,
79,@biologia_con_esqueleto,7625797489173482774,Yo llevo al guapo de tu novio.,0.3690860867500305,18,
80,@biologia_con_esqueleto,7625797489173482774,Yo llevo al guapo de tu novio.,0.3690860867500305,19,
81,@biologia_con_esqueleto,7625797489173482774,Así voy conociendo a mi yerno.,0.020919868722558,20,
82,@biologia_con_esqueleto,7625797489173482774,Así voy conociendo a mi yerno.,0.020919868722558,21,
83,@biologia_con_esqueleto,7625797489173482774,Así voy conociendo a mi yerno.,0.020919868722558,22,
84,@biologia_con_esqueleto,7625797489173482774,Me encanta que mi mamá se lleve tan bien con mi novio.,0.0428056381642818,23,
85,@biologia_con_esqueleto,7625797489173482774,Me encanta que mi mamá se lleve tan bien con mi novio.,0.0428056381642818,24,
86,@biologia_con_esqueleto,7625797489173482774,Me encanta que mi mamá se lleve tan bien con mi novio.,0.0428056381642818,25,
87,@biologia_con_esqueleto,7625797489173482774,Es la mejor mamá.,0.1293668299913406,26,
88,@biologia_con_esqueleto,7625797489173482774,Es la mejor mamá.,0.1293668299913406,27,
89,@biologia_con_esqueleto,7625797489173482774,Es la mejor mamá.,0.1293668299913406,28,
90,@biologia_con_esqueleto,7625797489173482774,"Oye, ¿y no has pensado en comer una papaya?",0.3448308706283569,29,
91,@biologia_con_esqueleto,7625797489173482774,"Oye, ¿y no has pensado en comer una papaya?",0.3448308706283569,30,
92,@biologia_con_esqueleto,7625797489173482774,Porque a mí Me gustan los pepinos grandes.,0.0786616951227188,31,
93,@biologia_con_esqueleto,7625797489173482774,Porque a mí Me gustan los pepinos grandes.,0.0786616951227188,32,
94,@biologia_con_esqueleto,7625797489173482774,Porque a mí Me gustan los pepinos grandes.,0.0786616951227188,33,
95,@biologia_con_esqueleto,7625797489173482774,Porque a mí Me gustan los pepinos grandes.,0.0786616951227188,34,
96,@biologia_con_esqueleto,7625797489173482774,"Yo amo a piña, pero ahora que lo menciona, una rica papaya no me caería nada mal.",0.1284942179918289,35,
97,@biologia_con_esqueleto,7625797489173482774,"Yo amo a piña, pero ahora que lo menciona, una rica papaya no me caería nada mal.",0.1284942179918289,36,
98,@biologia_con_esqueleto,7625797489173482774,"Yo amo a piña, pero ahora que lo menciona, una rica papaya no me caería nada mal.",0.1284942179918289,37,
99,@biologia_con_esqueleto,7625797489173482774,"Yo amo a piña, pero ahora que lo menciona, una rica papaya no me caería nada mal.",0.1284942179918289,38,
100,@biologia_con_esqueleto,7625797489173482774,"Yo amo a piña, pero ahora que lo menciona, una rica papaya no me caería nada mal.",0.1284942179918289,39,
101,@biologia_con_esqueleto,7625797489173482774,"Yo amo a piña, pero ahora que lo menciona, una rica papaya no me caería nada mal.",0.1284942179918289,40,
102,@biologia_con_esqueleto,7625797489173482774,"Yo amo a piña, pero ahora que lo menciona, una rica papaya no me caería nada mal.",0.1284942179918289,41,
103,@biologia_con_esqueleto,7625797489173482774,Perfecto.,0.0562291331589221,42,
104,@biologia_con_esqueleto,7625797489173482774,"Entonces, permíteme darte una pequeña demostración.",0.07069593667984,43,
105,@biologia_con_esqueleto,7625797489173482774,"Entonces, permíteme darte una pequeña demostración.",0.07069593667984,44,
106,@biologia_con_esqueleto,7625797489173482774,"Entonces, permíteme darte una pequeña demostración.",0.07069593667984,45,
107,@biologia_con_esqueleto,7625797489173482774,Se están tardando demasiado.,0.0418077111244201,46,
108,@biologia_con_esqueleto,7625797489173482774,Se están tardando demasiado.,0.0418077111244201,47,
109,@biologia_con_esqueleto,7625797489173482774,Se están tardando demasiado.,0.0418077111244201,48,
110,@biologia_con_esqueleto,7625797489173482774,¿Qué les habrá pasado?,0.0362320132553577,49,
111,@biologia_con_esqueleto,7625797489173482774,¿Qué les habrá pasado?,0.0362320132553577,50,
112,@biologia_con_esqueleto,7625797489173482774,Creo que iré a revisar si están bien.,0.0352791622281074,51,
113,@biologia_con_esqueleto,7625797489173482774,Creo que iré a revisar si están bien.,0.0352791622281074,52,
114,@biologia_con_esqueleto,7625797489173482774,Creo que iré a revisar si están bien.,0.0352791622281074,53,
115,@biologia_con_esqueleto,7625797489173482774,Creo que iré a revisar si están bien.,0.0352791622281074,54,
116,@biologia_con_esqueleto,7625797489173482774,"Pero, ¿qué son esos ruidos?",0.0369221195578575,55,
117,@biologia_con_esqueleto,7625797489173482774,"Pero, ¿qué son esos ruidos?",0.0369221195578575,56,
118,@biologia_con_esqueleto,7625797489173482774,¿Dónde está mi mamá?,0.1088286861777305,57,
119,@biologia_con_esqueleto,7625797489173482774,¿Qué están haciendo?,0.0455578602850437,58,
120,@biologia_con_esqueleto,7625797489173482774,¿Qué están haciendo?,0.0455578602850437,59,
121,@sandy_curvy,7627553593704467734,"Hoy es el día, jefa.",0.1438712477684021,1,
122,@sandy_curvy,7627553593704467734,Por fin voy a tener la familia que siempre soñé.,0.0195624455809593,2,
123,@sandy_curvy,7627553593704467734,Por fin voy a tener la familia que siempre soñé.,0.0195624455809593,3,
124,@sandy_curvy,7627553593704467734,"Me veo bien bonita, ¿verdad?",0.2911948263645172,4,
125,@sandy_curvy,7627553593704467734,"Me veo bien bonita, ¿verdad?",0.2911948263645172,5,
126,@sandy_curvy,7627553593704467734,"Me veo bien bonita, ¿verdad?",0.2911948263645172,6,
127,@sandy_curvy,7627553593704467734,"Me veo bien bonita, ¿verdad?",0.2911948263645172,7,
128,@sandy_curvy,7627553593704467734,"Me veo bien bonita, ¿verdad?",0.2911948263645172,8,
129,@sandy_curvy,7627553593704467734,"Me veo bien bonita, ¿verdad?",0.2911948263645172,9,
130,@sandy_curvy,7627553593704467734,"Me veo bien bonita, ¿verdad?",0.2911948263645172,10,
131,@sandy_curvy,7627553593704467734,"Durazno, ¿dónde te metiste, mi amor?",0.1696448326110839,11,
132,@sandy_curvy,7627553593704467734,"Durazno, ¿dónde te metiste, mi amor?",0.1696448326110839,12,
133,@sandy_curvy,7627553593704467734,"Durazno, ¿dónde te metiste, mi amor?",0.1696448326110839,13,
134,@sandy_curvy,7627553593704467734,Ya casi empieza la misa.,0.0701526030898094,14,
135,@sandy_curvy,7627553593704467734,Ya casi empieza la misa.,0.0701526030898094,15,
136,@sandy_curvy,7627553593704467734,"¿Cuándo le vas a decir a la gorda esa que solo te casaste con ella para quedarte con el viñedo?
Cállate, pera.",0.9460409879684448,16,Sexismo muy claro
137,@sandy_curvy,7627553593704467734,"¿Cuándo le vas a decir a la gorda esa que solo te casaste con ella para quedarte con el viñedo?
Cállate, pera.",0.9460409879684448,17,Sexismo muy claro
138,@sandy_curvy,7627553593704467734,"¿Cuándo le vas a decir a la gorda esa que solo te casaste con ella para quedarte con el viñedo?
Cállate, pera.",0.9460409879684448,18,Sexismo muy claro
139,@sandy_curvy,7627553593704467734,"¿Cuándo le vas a decir a la gorda esa que solo te casaste con ella para quedarte con el viñedo?
Cállate, pera.",0.9460409879684448,19,Sexismo muy claro
140,@sandy_curvy,7627553593704467734,"¿Cuándo le vas a decir a la gorda esa que solo te casaste con ella para quedarte con el viñedo?
Cállate, pera.",0.9460409879684448,20,Sexismo muy claro
141,@sandy_curvy,7627553593704467734,"¿Cuándo le vas a decir a la gorda esa que solo te casaste con ella para quedarte con el viñedo?
Cállate, pera.",0.9460409879684448,21,Sexismo muy claro
142,@sandy_curvy,7627553593704467734,"En cuanto firme el acta, la mandamos a un asilo y tú y yo nos largamos a París.",0.1126717627048492,22,
143,@sandy_curvy,7627553593704467734,"En cuanto firme el acta, la mandamos a un asilo y tú y yo nos largamos a París.",0.1126717627048492,23,
144,@sandy_curvy,7627553593704467734,"En cuanto firme el acta, la mandamos a un asilo y tú y yo nos largamos a París.",0.1126717627048492,24,
145,@sandy_curvy,7627553593704467734,"En cuanto firme el acta, la mandamos a un asilo y tú y yo nos largamos a París.",0.1126717627048492,25,
146,@sandy_curvy,7627553593704467734,"En cuanto firme el acta, la mandamos a un asilo y tú y yo nos largamos a París.",0.1126717627048492,26,
147,@sandy_curvy,7627553593704467734,"Durazno, pera, son unos malditos animales.",0.0823152288794517,27,
148,@sandy_curvy,7627553593704467734,"Durazno, pera, son unos malditos animales.",0.0823152288794517,28,
149,@sandy_curvy,7627553593704467734,"Durazno, pera, son unos malditos animales.",0.0823152288794517,29,
150,@sandy_curvy,7627553593704467734,"Durazno, pera, son unos malditos animales.",0.0823152288794517,30,
151,@sandy_curvy,7627553593704467734,"Es mi boda. Ay, sandía, no hagas drama.",0.2854682803153991,31,
152,@sandy_curvy,7627553593704467734,"Es mi boda. Ay, sandía, no hagas drama.",0.2854682803153991,32,
153,@sandy_curvy,7627553593704467734,"Es mi boda. Ay, sandía, no hagas drama.",0.2854682803153991,33,
154,@sandy_curvy,7627553593704467734,"Es mi boda. Ay, sandía, no hagas drama.",0.2854682803153991,34,
155,@sandy_curvy,7627553593704467734,"Es mi boda. Ay, sandía, no hagas drama.",0.2854682803153991,35,
156,@sandy_curvy,7627553593704467734,"Mírate, ¿en serio pensaste que alguien como él se fijaría en una fruta tan ordinaria como tú?",0.544374406337738,36,
157,@sandy_curvy,7627553593704467734,"Mírate, ¿en serio pensaste que alguien como él se fijaría en una fruta tan ordinaria como tú?",0.544374406337738,37,
158,@sandy_curvy,7627553593704467734,"Mírate, ¿en serio pensaste que alguien como él se fijaría en una fruta tan ordinaria como tú?",0.544374406337738,38,
159,@sandy_curvy,7627553593704467734,"Mírate, ¿en serio pensaste que alguien como él se fijaría en una fruta tan ordinaria como tú?",0.544374406337738,39,
160,@sandy_curvy,7627553593704467734,Solo serviste de escalón acá.,0.084790751338005,40,
161,@sandy_curvy,7627553593704467734,Solo serviste de escalón acá.,0.084790751338005,41,
162,@sandy_curvy,7627553593704467734,Solo serviste de escalón acá.,0.084790751338005,42,
163,@sandy_curvy,7627553593704467734,"Atención todos, la novia se volvió loca.",0.612016499042511,43,
164,@sandy_curvy,7627553593704467734,"Atención todos, la novia se volvió loca.",0.612016499042511,44,
165,@sandy_curvy,7627553593704467734,"Atención todos, la novia se volvió loca.",0.612016499042511,45,
166,@sandy_curvy,7627553593704467734,"Atención todos, la novia se volvió loca.",0.612016499042511,46,
167,@sandy_curvy,7627553593704467734,Dice que el novio no la quiere.,0.8567466139793396,47,Sexismo claro
168,@sandy_curvy,7627553593704467734,Dice que el novio no la quiere.,0.8567466139793396,48,Sexismo claro
169,@sandy_curvy,7627553593704467734,Seguridad.,0.1418872624635696,49,
170,@sandy_curvy,7627553593704467734,Saquen a esta loca de mi evento porque ahora la dueña de todo soy yo.,0.1871922761201858,50,
171,@sandy_curvy,7627553593704467734,Saquen a esta loca de mi evento porque ahora la dueña de todo soy yo.,0.1871922761201858,51,
172,@sandy_curvy,7627553593704467734,Saquen a esta loca de mi evento porque ahora la dueña de todo soy yo.,0.1871922761201858,52,
173,@sandy_curvy,7627553593704467734,Tú no eres dueña de nada.,0.3020313680171966,53,
174,@sandy_curvy,7627553593704467734,Esa empresa la fundé yo con mi esfuerzo.,0.02988763153553,54,
175,@sandy_curvy,7627553593704467734,Esa empresa la fundé yo con mi esfuerzo.,0.02988763153553,55,
176,@sandy_curvy,7627553593704467734,Esa empresa la fundé yo con mi esfuerzo.,0.02988763153553,56,
177,@sandy_curvy,7627553593704467734,Esa empresa la fundé yo con mi esfuerzo.,0.02988763153553,57,
178,@sandy_curvy,7627553593704467734,Esa empresa la fundé yo con mi esfuerzo.,0.02988763153553,58,
179,@sandy_curvy,7627553593704467734,"Ni se te ocurra volver, sandía.",0.2164523601531982,59,
180,@sandy_curvy,7627553593704467734,"Ni se te ocurra volver, sandía.",0.2164523601531982,100,
181,@sandy_curvy,7627553593704467734,"Ni se te ocurra volver, sandía.",0.2164523601531982,101,
182,@sandy_curvy,7627553593704467734,"Ni se te ocurra volver, sandía.",0.2164523601531982,102,
183,@sandy_curvy,7627553593704467734,Ya firmé los poderes. Ya no tienes ni dónde caer muerta.,0.0827427133917808,103,
184,@sandy_curvy,7627553593704467734,Ya firmé los poderes. Ya no tienes ni dónde caer muerta.,0.0827427133917808,104,
185,@sandy_curvy,7627553593704467734,Ya firmé los poderes. Ya no tienes ni dónde caer muerta.,0.0827427133917808,105,
186,@sandy_curvy,7627553593704467734,"Bye bye, gata.",0.8200931549072266,106,Sexismo claro
187,@sandy_curvy,7627553593704467734,Disfruta la lluvia.,0.128880426287651,107,
188,@sandy_curvy,7627553593704467734,Me lo quitaron todo.,0.0316228084266185,108,
189,@sandy_curvy,7627553593704467734,Me lo quitaron todo.,0.0316228084266185,109,
190,@sandy_curvy,7627553593704467734,Me lo quitaron todo.,0.0316228084266185,110,
191,@sandy_curvy,7627553593704467734,"Me dejaron en la calle como si no fuera nada, pero se equivocaron de fruta porque la sandía aguanta los golpes más fuertes.",0.1214046403765678,111,
192,@sandy_curvy,7627553593704467734,"Me dejaron en la calle como si no fuera nada, pero se equivocaron de fruta porque la sandía aguanta los golpes más fuertes.",0.1214046403765678,112,
193,@sandy_curvy,7627553593704467734,"Me dejaron en la calle como si no fuera nada, pero se equivocaron de fruta porque la sandía aguanta los golpes más fuertes.",0.1214046403765678,113,
194,@sandy_curvy,7627553593704467734,"Me dejaron en la calle como si no fuera nada, pero se equivocaron de fruta porque la sandía aguanta los golpes más fuertes.",0.1214046403765678,114,
195,@sandy_curvy,7627553593704467734,"Me dejaron en la calle como si no fuera nada, pero se equivocaron de fruta porque la sandía aguanta los golpes más fuertes.",0.1214046403765678,115,
196,@sandy_curvy,7627553593704467734,"Me dejaron en la calle como si no fuera nada, pero se equivocaron de fruta porque la sandía aguanta los golpes más fuertes.",0.1214046403765678,116,
197,@sandy_curvy,7627553593704467734,"Me dejaron en la calle como si no fuera nada, pero se equivocaron de fruta porque la sandía aguanta los golpes más fuertes.",0.1214046403765678,117,
198,@sandy_curvy,7627553593704467734,"¿Buscando justicia o buscando venganza, jovencita?",0.8593823313713074,118,Sexismo claro
199,@sandy_curvy,7627553593704467734,"¿Buscando justicia o buscando venganza, jovencita?",0.8593823313713074,119,Sexismo claro
200,@sandy_curvy,7627553593704467734,"¿Buscando justicia o buscando venganza, jovencita?",0.8593823313713074,120,Sexismo claro
201,@sandy_curvy,7627553593704467734,"Porque para la primera necesitas un abogado, pero para la segunda me necesitas a mí.",0.1756289601325988,121,
202,@sandy_curvy,7627553593704467734,"Porque para la primera necesitas un abogado, pero para la segunda me necesitas a mí.",0.1756289601325988,122,
203,@sandy_curvy,7627553593704467734,"Porque para la primera necesitas un abogado, pero para la segunda me necesitas a mí.",0.1756289601325988,123,
204,@sandy_curvy,7627553593704467734,"Porque para la primera necesitas un abogado, pero para la segunda me necesitas a mí.",0.1756289601325988,124,
205,@sandy_curvy,7627553593704467734,Quiero que muerdan el polvo.,0.1769313365221023,125,
206,@sandy_curvy,7627553593704467734,"Me lo quitaron todo, don Mango.",0.0439968705177307,126,
207,@sandy_curvy,7627553593704467734,"Me lo quitaron todo, don Mango.",0.0439968705177307,126,
208,@sandy_curvy,7627553593704467734,"Me lo quitaron todo, don Mango.",0.0439968705177307,127,
209,@sandy_curvy,7627553593704467734,"Mi dignidad, mi empresa, mi mejor amiga, me apuñaló por la espalda.",0.1400181502103805,128,
210,@sandy_curvy,7627553593704467734,"Mi dignidad, mi empresa, mi mejor amiga, me apuñaló por la espalda.",0.1400181502103805,129,
211,@sandy_curvy,7627553593704467734,"Mi dignidad, mi empresa, mi mejor amiga, me apuñaló por la espalda.",0.1400181502103805,130,
212,@sandy_curvy,7627553593704467734,La traición es el combustible para crear a la sandía que domina.,0.1719429641962051,131,
213,@sandy_curvy,7627553593704467734,La traición es el combustible para crear a la sandía que domina.,0.1719429641962051,132,
214,@sandy_curvy,7627553593704467734,La traición es el combustible para crear a la sandía que domina.,0.1719429641962051,133,
215,@sandy_curvy,7627553593704467734,La traición es el combustible para crear a la sandía que domina.,0.1719429641962051,134,
216,@sandy_curvy,7627553593704467734,La traición es el combustible para crear a la sandía que domina.,0.1719429641962051,135,
217,@sandy_curvy,7627553593704467734,"Salud, mi amor.",0.0702485814690589,136,
218,@sandy_curvy,7627553593704467734,"Salud, mi amor.",0.0702485814690589,137,
219,@sandy_curvy,7627553593704467734,Por fin nos deshimos del lastre.,0.0247032847255468,138,
220,@sandy_curvy,7627553593704467734,Por fin nos deshimos del lastre.,0.0247032847255468,139,
221,@sandy_curvy,7627553593704467734,Mañana mismo vendemos sus terrenos.,0.0255035031586885,140,
222,@sandy_curvy,7627553593704467734,Mañana mismo vendemos sus terrenos.,0.0255035031586885,141,
223,@sandy_curvy,7627553593704467734,Esa tonta nunca vio venir el golpe.,0.7603564262390137,142,Sexismo probable
224,@sandy_curvy,7627553593704467734,Esa tonta nunca vio venir el golpe.,0.7603564262390137,143,Sexismo probable
225,@sandy_curvy,7627553593704467734,Que viva el dinero.,0.0747539177536964,144,
226,@sandy_curvy,7627553593704467734,Bienvenidos a tu nuevo cuartel general.,0.0198293272405862,145,
227,@sandy_curvy,7627553593704467734,Bienvenidos a tu nuevo cuartel general.,0.0198293272405862,146,
228,@sandy_curvy,7627553593704467734,Bienvenidos a tu nuevo cuartel general.,0.0198293272405862,147,
229,@sandy_curvy,7627553593704467734,Bienvenidos a tu nuevo cuartel general.,0.0198293272405862,148,
230,@sandy_curvy,7627553593704467734,Bienvenidos a tu nuevo cuartel general.,0.0198293272405862,149,
231,@sandy_curvy,7627553593704467734,Bienvenidos a tu nuevo cuartel general.,0.0198293272405862,150,
232,@sandy_curvy,7627553593704467734,Bienvenidos a tu nuevo cuartel general.,0.0198293272405862,151,
233,@sandy_curvy,7627553593704467734,Aquí nadie puede tocarte.,0.0614686347544193,152,
234,@sandy_curvy,7627553593704467734,Aquí nadie puede tocarte.,0.0614686347544193,153,
235,@sandy_curvy,7627553593704467734,Aquí nadie puede tocarte.,0.0614686347544193,154,
236,@sandy_curvy,7627553593704467734,Aquí nadie puede tocarte.,0.0614686347544193,155,
237,@sandy_curvy,7627553593704467734,"Mañana, mañana empieza el final de su reinado.",0.0392235666513443,156,
238,@sandy_curvy,7627553593704467734,"Mañana, mañana empieza el final de su reinado.",0.0392235666513443,157,
239,@sandy_curvy,7627553593704467734,"Mañana, mañana empieza el final de su reinado.",0.0392235666513443,158,
240,@sandy_curvy,7627553593704467734,"Gracias por la ropa, don Mango, pero lo que más me sirve es el odio que traigo aquí dentro",0.0687514171004295,159,
241,@sandy_curvy,7627553593704467734,"Gracias por la ropa, don Mango, pero lo que más me sirve es el odio que traigo aquí dentro",0.0687514171004295,160,
242,@sandy_curvy,7627553593704467734,"Gracias por la ropa, don Mango, pero lo que más me sirve es el odio que traigo aquí dentro",0.0687514171004295,161,
